#Strain,Isolate,Location,Assembly,Collection date,Isolation type,Host,AMR genotypes,AST phenotypes
,PDT000768266.1,Spain,GCA_021679015.1,02/01/2016,clinical,Homo sapiens,"aac(6')-IIa=COMPLETE,aac(6')-Il=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-100=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
,PDT000768277.1,Spain,GCA_021678755.1,02/02/2016,clinical,Homo sapiens,"aac(6')-IIa=COMPLETE,aac(6')-Il=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-100=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
,PDT000768281.1,Spain,GCA_021678695.1,22/03/2016,clinical,Homo sapiens,"aac(6')-IIa=COMPLETE,aac(6')-Il=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-100=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
,PDT000768282.1,Spain,GCA_021678655.1,22/03/2016,clinical,Homo sapiens,"aac(6')-IIa=COMPLETE,aac(6')-Il=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA=COMPLETE,blaPDC-100=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
,PDT000768273.1,Spain,GCA_021678835.1,22/01/2016,clinical,Homo sapiens,"aac(3)-Ia=COMPLETE,aac(6')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,blaIMP-8=COMPLETE,blaNPS-1=COMPLETE,blaOXA-848=COMPLETE,blaPDC-16=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
,PDT000768325.1,Spain,GCA_021677755.1,26/10/2016,clinical,Homo sapiens,"aac(6')-32=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
PA-4-12,PDT000771030.1,,GCA_021675375.1,15/12/2013,,,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaOXA=COMPLETE,blaPDC-35=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000483572.1,Spain,GCA_900707065.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_D87H=POINT,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000483575.1,Spain,GCA_900707095.1,2018,clinical,Homo sapiens,"aac(6')-31=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaOXA-1028=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
,PDT000483612.1,Spain,GCA_900707525.1,2018,clinical,Homo sapiens,"ampR_D135G=POINT,aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-71=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=PARTIAL_END_OF_CONTIG,mexE=COMPLETE,mexX=COMPLETE",
,PDT000483652.1,Spain,GCA_900707985.1,2018,clinical,Homo sapiens,"ant(2'')-Ia=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=MISTRANSLATION,mexE=PARTIAL_END_OF_CONTIG,mexX=COMPLETE,mexZ_G195E=POINT,sul1=PARTIAL_END_OF_CONTIG",
,PDT000483663.1,Spain,GCA_900708095.1,2018,clinical,Homo sapiens,"aac(3)-Ic=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,cmlA5=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000483674.1,Spain,GCA_900708285.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT",
,PDT000483675.1,Spain,GCA_900708275.1,2018,clinical,Homo sapiens,"aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-408=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000483681.1,Spain,GCA_900708355.1,2018,clinical,Homo sapiens,"aac(6')-Ib'=COMPLETE,aph(3')-IIb=COMPLETE,blaCARB-3=COMPLETE,blaOXA-488=COMPLETE,blaPDC-142=COMPLETE,catB11=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=PARTIAL,parC_S87L=POINT,sul1=COMPLETE",
,PDT000483695.1,Spain,GCA_900708515.1,2018,clinical,Homo sapiens,"aph(3')-IIb=PARTIAL_END_OF_CONTIG,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=PARTIAL_END_OF_CONTIG,mexX=COMPLETE",
,PDT000483700.1,Spain,GCA_900708565.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-847=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT",
,PDT000483704.1,Spain,GCA_900708625.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-15=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
,PDT000483705.1,Spain,GCA_900708635.1,2018,clinical,Homo sapiens,"aac(6')-Ib=COMPLETE,aadA6=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=PARTIAL_END_OF_CONTIG,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=COMPLETE",
,PDT000483717.1,Spain,GCA_900708765.1,2018,clinical,Homo sapiens,"aac(3)-I=COMPLETE,aac(6')-31=COMPLETE,aph(3')-IIb=PARTIAL_END_OF_CONTIG,blaIMP=COMPLETE,blaOXA-395=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,crpP=COMPLETE,fosA=PARTIAL_END_OF_CONTIG,mexA=PARTIAL_END_OF_CONTIG,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
,PDT000483718.1,Spain,GCA_900708775.1,2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,mexZ_G195E=POINT,sul1=PARTIAL_END_OF_CONTIG",
PS04,PDT000866456.1,"USA: San Diego, CA",GCA_021667115.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=PARTIAL,mexE=PARTIAL,mexX=COMPLETE",
PS23,PDT000866101.1,"USA: San Diego, CA",GCA_021668895.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-14=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS14,PDT000866108.1,"USA: San Diego, CA",GCA_021668775.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-14=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS39,PDT000866288.1,"USA: San Diego, CA",GCA_021668075.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS36,PDT000866291.1,"USA: San Diego, CA",GCA_021668015.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS123,PDT000866111.1,"USA: San Diego, CA",GCA_021668755.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1033=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS47,PDT000866079.1,"USA: San Diego, CA",GCA_021668975.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaOXA=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS69,PDT000866434.1,"USA: San Diego, CA",GCA_021667615.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-851=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS52,PDT000866074.1,"USA: San Diego, CA",GCA_021669035.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-112=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS89,PDT000866171.1,"USA: San Diego, CA",GCA_021668475.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1032=COMPLETE,blaPDC-112=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS63,PDT000866438.1,"USA: San Diego, CA",GCA_021667415.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-902=COMPLETE,blaPDC-133=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS62,PDT000866439.1,"USA: San Diego, CA",GCA_021667355.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-902=COMPLETE,blaPDC-133=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS96,PDT000866165.1,"USA: San Diego, CA",GCA_021668635.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
PS43,PDT000866285.1,"USA: San Diego, CA",GCA_021668135.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
PS44,PDT000866284.1,"USA: San Diego, CA",GCA_021668195.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS104,PDT000866445.1,"USA: San Diego, CA",GCA_021667315.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS20,PDT000866104.1,"USA: San Diego, CA",GCA_021668875.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,aph(3')-IIb=PARTIAL_END_OF_CONTIG,blaOXA-494=COMPLETE,blaOXA=COMPLETE,blaOXA=PARTIAL_END_OF_CONTIG,blaPDC-10=COMPLETE,blaPDC-24=COMPLETE,blaPDC=PARTIAL_END_OF_CONTIG,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS122,PDT000866112.1,"USA: San Diego, CA",GCA_021668675.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,aph(3')-IIb=PARTIAL_END_OF_CONTIG,blaOXA-395=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS95,PDT000866166.1,"USA: San Diego, CA",GCA_021668595.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaOXA-850=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS94,PDT000866167.1,"USA: San Diego, CA",GCA_021668575.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-15=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
PS111,PDT000866180.1,"USA: San Diego, CA",GCA_021668315.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=MISTRANSLATION,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS38,PDT000866289.1,"USA: San Diego, CA",GCA_021668035.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-60=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
PS27,PDT000866297.1,"USA: San Diego, CA",GCA_021667875.1,,clinical,Homo sapiens,"aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,blaOXA-395=COMPLETE,blaPDC-361=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=MISTRANSLATION",
PS82,PDT000866385.1,"USA: San Diego, CA",GCA_021667795.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-906=COMPLETE,blaPDC-59=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS77,PDT000866390.1,"USA: San Diego, CA",GCA_021667695.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-15=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE",
PS07,PDT000866453.1,"USA: San Diego, CA",GCA_021667175.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-35=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PS06,PDT000866454.1,"USA: San Diego, CA",GCA_021667155.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,erm(B)=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,tet(M)=PARTIAL",
ZBX-P5,PDT001000615.1,Lebanon: Beirut,GCA_017693895.1,25/04/2018,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1035=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
PACT-11,PDT001187623.1,Italy: Ancona,GCA_021013035.1,2018-12,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-208=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=MISTRANSLATION,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT",
PA2,PDT000277137.1,France: Paris,GCA_002866725.1,2015-06,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT",
PA6,PDT000277141.1,France: Paris,GCA_002866805.1,2015-06,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,floR=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,tet(G)=COMPLETE",
S794_C17_BS,PDT000209105.1,Italy: Napoli,GCA_002135675.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib'=COMPLETE,aac(6')-Il=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-19a=COMPLETE,blaVIM-2=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,crpP=PARTIAL_END_OF_CONTIG,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
S650_C13_BS,PDT000209116.1,Italy: Ancona,GCA_002135875.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,aph(3')-XV=COMPLETE,blaOXA-904=COMPLETE,blaPDC-117=COMPLETE,blaVIM-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
S53_C01_BS,PDT000209137.1,Italy: Milano,GCA_002136295.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-906=COMPLETE,blaPDC-59=COMPLETE,blaVIM-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
S57_C01_BS,PDT000209149.1,Italy: Milano,GCA_002136535.1,2013/2014,clinical,Homo sapiens,"aac(6')-Ib4=COMPLETE,aadA1=COMPLETE,aph(3')-IIb=COMPLETE,blaOXA-906=COMPLETE,blaPDC-59=COMPLETE,blaVIM-1=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,sul1=COMPLETE",
T2436,PDT000411596.1,Thailand: Bangkok,GCA_003834665.1,2013,clinical,Homo sapiens,"aadA1=COMPLETE,ant(2'')-Ia=COMPLETE,ant(4')-IIb=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-IIb=COMPLETE,aph(6)-Id=COMPLETE,arr-2=COMPLETE,blaOXA-10=COMPLETE,blaOXA-488=COMPLETE,blaPDC-105=COMPLETE,blaVEB-2=COMPLETE,catB7=COMPLETE,cmlA5=COMPLETE,crpP=PARTIAL,floR2=COMPLETE,fosA=COMPLETE,gyrA_T83I=POINT,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE,parC_S87L=POINT,sul1=PARTIAL_END_OF_CONTIG,tet(G)=COMPLETE,tmexC3=COMPLETE,tmexD3=COMPLETE,toprJ1=COMPLETE",
2192,PDT000005411.2,,GCA_000152545.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
M18,PDT000007660.2,,GCA_000226155.1,,,,"aph(3')-IIb=PARTIAL,blaOXA-851=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
DK2,PDT000007843.2,,GCA_000271365.1,,,,"blaOXA-494=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,gyrA_D87N=POINT,mexA=PARTIAL,mexE=COMPLETE,mexX=COMPLETE",
MPAO1/P1,PDT000009203.2,,GCA_000247435.2,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
MPAO1/P2,PDT000009204.2,,GCA_000247455.2,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
ATCC 14886,PDT000009977.2,,GCA_000297275.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
XMG,PDT000012269.2,China,GCA_000265035.1,2010-03,,,"aph(3')-IIb=COMPLETE,blaOXA-1028=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
SJTD-1,PDT000012337.3,China: Shanghai,GCA_000271985.2,,,,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C 1334,PDT000015612.2,,GCA_000412295.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
MSH 10,PDT000015616.2,,GCA_000412435.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-20=COMPLETE,catB7=COMPLETE,crpP=PARTIAL,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C 1426,PDT000015622.2,,GCA_000412555.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C7447m,PDT000017011.1,,GCA_000468935.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
C48,PDT000018439.2,,GCA_000480435.1,,,,"aph(3')-IIb=COMPLETE,blaOXA-396=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,crpP=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BL19,PDT000018450.2,USA,GCA_000480765.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-1030=COMPLETE,blaPDC-1=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BL15,PDT000018454.2,USA,GCA_000480845.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-488=COMPLETE,blaPDC-12=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BL05,PDT000018464.2,USA,GCA_000481045.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-50=COMPLETE,blaPDC-5=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BL01,PDT000018468.2,USA,GCA_000481125.1,,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-122=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BWHPSA025,PDT000018472.2,USA,GCA_000481205.1,01/02/2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-3=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BWHPSA020,PDT000018476.2,USA,GCA_000481305.1,01/02/2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-904=COMPLETE,blaPDC=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BWHPSA019,PDT000018477.2,USA,GCA_000481325.1,01/02/2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-486=COMPLETE,blaPDC-8=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
BWHPSA016,PDT000018479.2,USA,GCA_000481385.1,01/02/2013,clinical,Homo sapiens,"aph(3')-IIb=COMPLETE,blaOXA-494=COMPLETE,blaPDC-431=COMPLETE,catB7=COMPLETE,fosA=COMPLETE,mexA=COMPLETE,mexE=COMPLETE,mexX=COMPLETE",
